"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"49","22","InterPro Domains","","ABC transporter-like, ATP-binding domain","4.48E-32","ABCC6|ABCD1|ABCF2|ABCC9|ABCB6|ABCB4|ABCA12|ABCA6|ABCC3|ABCE1|ABCB8|ABCA3|ABCF1|ABCD4|ABCG1|ABCA4|ABCC10|ABCA1|ABCB9|ABCA8|ABCB1|ABCG2","85041","85193|85151|85379|85166|85364|85169|85208|85325|85307|85268|85274|85241|85343|85259|85196|85328|85340|85334|85142|85313|85352|85280","6.24E-36","","IPR003439","3.1348721986001857","0"
"44","20","InterPro Domains","","ABC transporter-like, conserved site","3.26E-29","ABCC6|ABCD1|ABCF2|ABCC9|ABCB6|ABCB4|ABCA12|ABCC3|ABCE1|ABCB8|ABCA3|ABCF1|ABCD4|ABCG1|ABCA4|ABCC10|ABCA1|ABCB9|ABCA8|ABCB1","85041","85193|85151|85379|85166|85364|85169|85208|85307|85268|85274|85241|85343|85259|85196|85328|85340|85334|85142|85313|85352","9.07E-33","","IPR017871","2.8486782399932062","0"
"1554","50","GO Molecular Function","","Adenyl ribonucleotide binding","7.99E-29","ABCC6|ABCD1|ABCF2|ACTA2|ACADL|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABCA12|ABCA6|ABCC3|ABCE1|ABCB8|ABCA3|ABCF1|AACS|ACSM5|ACSL4|ACVR2B|ACACB|ABCD4|ACSL3|ABCG1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACVRL1|AAK1|ACTG2|AARSD1|ACVR1|ACSL1|ABCB9|ACVR1B|ACSS3|ACTG1|ACLY|ABCA8|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85151|85379|85130|85289|85367|85166|85226|85223|85364|85169|85376|85208|85325|85307|85268|85274|85241|85343|85304|85295|85385|85175|85229|85259|85319|85196|85382|85328|85163|85340|85334|85178|85316|85322|85277|85256|85187|85184|85355|85142|85211|85247|85202|85253|85313|85352|85346|85280|85232","1.62E-32","","GO:0032559","2.809745322068601","0"
"45","19","KEGG Pathways","","ABC transporters","3.98E-28","ABCC6|ABCD1|ABCC9|ABCB6|ABCB4|ABCA12|ABCA6|ABCC3|ABCB8|ABCA3|ABCD4|ABCG1|ABCA4|ABCC10|ABCA1|ABCB9|ABCA8|ABCB1|ABCG2","85041","85193|85151|85166|85364|85169|85208|85325|85307|85274|85241|85259|85196|85328|85340|85334|85142|85313|85352|85280","1.18E-30","","hsa02010","2.7400116927926312","0"
"50","19","GO Molecular Function","","ABC-type transporter activity","1.02E-26","ABCC6|ABCD1|ABCC9|ABCB6|ABCB4|ABCA12|ABCA6|ABCC3|ABCB8|ABCA3|ABCD4|ABCG1|ABCA4|ABCC10|ABCA1|ABCB9|ABCA8|ABCB1|ABCG2","85041","85193|85151|85166|85364|85169|85208|85325|85307|85274|85241|85259|85196|85328|85340|85334|85142|85313|85352|85280","6.18E-30","","GO:0140359","2.599139982823808","0"
"1379","45","UniProt Keywords","","ATP-binding","4.35E-26","ABCC6|ABCD1|ABCF2|ACTA2|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ABCA12|ABCA6|ABCC3|ABCE1|ABCB8|ABCA3|ABCF1|AACS|ACSM5|ACSL4|ACVR2B|ACACB|ABCD4|ACSL3|ABCG1|ACTR1A|ABCA4|ABCC10|ABCA1|ACTR2|ACVRL1|AAK1|ACTG2|ACVR1|ACSL1|ABCB9|ACVR1B|ACSS3|ACTG1|ACLY|ABCA8|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85151|85379|85130|85367|85166|85226|85223|85364|85169|85208|85325|85307|85268|85274|85241|85343|85304|85295|85385|85175|85229|85259|85319|85196|85382|85328|85340|85334|85316|85322|85277|85256|85184|85355|85142|85211|85247|85202|85253|85313|85352|85346|85280|85232","6.47E-29","","KW-0067","2.536151074304536","0"
"2168","53","GO Molecular Function","","Nucleotide binding","4.9E-26","ABCC6|ABCD1|ABCF2|ACTA2|ACADL|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABCA12|ACAD8|ABCA6|ABCC3|ACOX1|ABCE1|ABCB8|ABCA3|ABCF1|AACS|ACSM5|ACSL4|ACVR2B|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACVRL1|AAK1|ACTG2|AARSD1|ACVR1|ACSL1|ABCB9|ACVR1B|ACSS3|ACTG1|ACLY|ABCA8|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85151|85379|85130|85289|85367|85166|85226|85223|85364|85169|85376|85208|85157|85325|85307|85220|85268|85274|85241|85343|85304|85295|85385|85175|85229|85349|85259|85319|85196|85382|85328|85163|85340|85334|85178|85316|85322|85277|85256|85187|85184|85355|85142|85211|85247|85202|85253|85313|85352|85346|85280|85232","3.97E-29","","GO:0000166","2.5309803919971485","0"
"1491","46","GO Molecular Function","","ATP binding","9.89E-26","ABCC6|ABCD1|ABCF2|ACTA2|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ABCA12|ABCA6|ABCC3|ABCE1|ABCB8|ABCA3|ABCF1|AACS|ACSM5|ACSL4|ACVR2B|ACACB|ABCD4|ACSL3|ABCG1|ACTR1A|ABCA4|ABCC10|ABCA1|ACTR2|ACVRL1|AAK1|ACTG2|AARSD1|ACVR1|ACSL1|ABCB9|ACVR1B|ACSS3|ACTG1|ACLY|ABCA8|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85151|85379|85130|85367|85166|85226|85223|85364|85169|85208|85325|85307|85268|85274|85241|85343|85304|85295|85385|85175|85229|85259|85319|85196|85382|85328|85340|85334|85316|85322|85277|85256|85187|85184|85355|85142|85211|85247|85202|85253|85313|85352|85346|85280|85232","1.2E-28","","GO:0005524","2.500480370840282","0"
"2507","54","GO Molecular Function","","Small molecule binding","1.91E-24","ABCC6|ABCD1|ABCF2|ACTA2|ACADL|ACTN4|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABCA12|ACAD8|ABCA6|ABCC3|ACOX1|ABCE1|ABCB8|ABCA3|ABCF1|AACS|ACSM5|ACSL4|ACVR2B|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACVRL1|AAK1|ACTG2|AARSD1|ACVR1|ACSL1|ABCB9|ACVR1B|ACSS3|ACTG1|ACLY|ABCA8|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85151|85379|85130|85289|85160|85367|85166|85226|85223|85364|85169|85376|85208|85157|85325|85307|85220|85268|85274|85241|85343|85304|85295|85385|85175|85229|85349|85259|85319|85196|85382|85328|85163|85340|85334|85178|85316|85322|85277|85256|85187|85184|85355|85142|85211|85247|85202|85253|85313|85352|85346|85280|85232","3.87E-27","","GO:0036094","2.371896663275227","0"
"2278","52","GO Molecular Function","","Carbohydrate derivative binding","2.28E-24","ABCC6|ABCD1|ABCF2|ACTA2|ACADL|ACTN4|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABCA12|ABCA6|ABCC3|ABCE1|ABCB8|ABCA3|ABCF1|AACS|ACSM5|ACSL4|ACVR2B|ACACB|ABCD4|ACSL3|ABCG1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACVRL1|AAK1|ACTG2|AARSD1|AAMP|ACVR1|ACSL1|ABCB9|ACVR1B|ACSS3|ACTG1|ACLY|ABCA8|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85151|85379|85130|85289|85160|85367|85166|85226|85223|85364|85169|85376|85208|85325|85307|85268|85274|85241|85343|85304|85295|85385|85175|85229|85259|85319|85196|85382|85328|85163|85340|85334|85178|85316|85322|85277|85256|85187|85172|85184|85355|85142|85211|85247|85202|85253|85313|85352|85346|85280|85232","5.08E-27","","GO:0097367","2.3642065152999545","0"
